claim_id,customer,customer_plant,claim_country,claim_language,claim_description,production_plant,production_country,part_category,part_name_ko,part_name_en,part_number,production_date,delivery_date,occurrence_date,claim_received_date,claim_confirmed_date,claim_status,defect_type_ko,defect_type_en,severity,claim_quantity,unit_price_usd,claim_amount_usd
CLM-000001,BMW,BMW Leipzig Plant,DE,de,Surface & Plating Defect bei Outside Mirror (SL-MIR-23434) festgestellt. Erkannt bei BMW Leipzig Plant.,SL Alabama,US,Mirror Systems,아웃사이드미러,Outside Mirror,SL-MIR-23434,2022-08-13,2022-08-29,2023-06-28,2023-06-29,,접수,표면·도금불량,Surface & Plating Defect,Minor,5,45.27,183.34
CLM-000002,Hyundai,Beijing Hyundai Motor (BHMC),CN,zh,在Lower Control Arm（SL-CHS-30926）上发现Material Defect。由Beijing Hyundai Motor (BHMC)确认。,호북삼립,CN,Chassis Systems,로어암,Lower Control Arm,SL-CHS-30926,2024-11-10,2024-11-21,2025-05-15,2025-05-18,2025-06-11,확정,소재불량,Material Defect,Minor,2,24.54,48.1
CLM-000003,Kia,기아 광주공장,KR,ko,액추에이터모터(SL-ELE-59615) 부품에서 기타 발생. Kia 기아 광주공장에서 확인됨.,SL Mexico (SLP),MX,Electrification,액추에이터모터,Actuator Motor,SL-ELE-59615,2022-08-20,2022-09-01,2023-06-11,2023-06-25,2023-07-21,기각,기타,Other,Minor,5,41.71,171.01
CLM-000004,Kia,기아 광주공장,KR,ko,주간주행등(SL-LMP-46434) 부품에서 크랙·파손 발생. Kia 기아 광주공장에서 확인됨.,SL Alabama,US,Lamp Systems,주간주행등,Daytime Running Lamp,SL-LMP-46434,2024-08-11,2024-08-25,2025-07-17,2025-07-20,2025-08-05,확정,크랙·파손,Crack & Breakage,Critical,500,67.12,36916.0
CLM-000005,Hyundai,현대자동차 아산공장,KR,ko,와이어링하네스(SL-ELE-99733) 부품에서 치수불량 발생. Hyundai 현대자동차 아산공장에서 확인됨.,SL 안산공장,KR,Electrification,와이어링하네스,Wiring Harness,SL-ELE-99733,2023-09-24,2023-09-28,2024-10-26,2024-10-30,2024-11-22,보상완료,치수불량,Dimensional Out-of-Spec,Minor,8,12.98,130.84
CLM-000006,GM,GM Brazil Gravataí,BR,pt,Dimensional Out-of-Spec detectado em Bonnet Latch (SL-FEM-44718). Identificado na GM Brazil Gravataí.,SL Brazil,BR,Front End Module,본넷래치,Bonnet Latch,SL-FEM-44718,2023-05-19,2023-06-08,2023-10-13,2023-10-22,2023-12-01,확정,치수불량,Dimensional Out-of-Spec,Major,200,18.78,3417.96
CLM-000007,KGM,KGM 평택공장,KR,ko,사이드리피터미러(SL-MIR-30969) 부품에서 배선·전장불량 발생. KGM 평택공장에서 확인됨.,SL 진량공장,KR,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-30969,2024-07-07,2024-07-12,2025-05-14,2025-05-21,2025-06-22,확정,배선·전장불량,Wiring & Electrical Defect,Minor,8,68.55,674.53
CLM-000008,Hyundai,현대자동차 울산공장,KR,ko,로어암(SL-CHS-48469) 부품에서 배선·전장불량 발생. Hyundai 현대자동차 울산공장에서 확인됨.,SL 미러텍(시흥),KR,Chassis Systems,로어암,Lower Control Arm,SL-CHS-48469,2025-03-03,2025-03-20,2025-06-09,2025-06-10,2025-06-29,보상완료,배선·전장불량,Wiring & Electrical Defect,Minor,3,28.75,73.31
CLM-000009,BMW,BMW Munich Plant,DE,de,Surface & Plating Defect bei Sensor Module (SL-ELE-74042) festgestellt. Erkannt bei BMW Munich Plant.,SL Poland,PL,Electrification,센서모듈,Sensor Module,SL-ELE-74042,2022-11-29,2022-12-13,2023-02-09,2023-02-24,2023-03-18,보상완료,표면·도금불량,Surface & Plating Defect,Minor,1,20.84,22.51
CLM-000010,Hyundai,HMGMA (Hyundai Motor Group Metaplant America),US,en,Wiring & Electrical Defect detected on Side Repeater Mirror (SL-MIR-72296). Identified at HMGMA (Hyundai Motor Group Metaplant America).,SL 성서공장,KR,Mirror Systems,사이드리피터미러,Side Repeater Mirror,SL-MIR-72296,2023-07-03,2023-07-22,2023-12-05,2023-12-19,2024-01-04,기각,배선·전장불량,Wiring & Electrical Defect,Minor,5,55.65,278.25
